Category,DataWindow,H2H,Market,Type,Odds,TrueProb,EV_pct,N_matches,HitFreq
league_it,full history,NAP - TOR,HT CS 0-0,HTCS,4.8,0.219279,5.25,1359,1 in 4
league_it,full history,ATA - NAP,HT/FT 2/1,HTFT,29.8,0.03532,5.25,1359,1 in 28
league_it,full history,ROM - INT,HT/FT 2/X,HTFT,15.4,0.068332,5.23,1361,1 in 14
league_it,full history,PIS - TOR,HT/FT 2/1,HTFT,31.8,0.033088,5.22,1360,1 in 30
league_it,full history,LEC - ATA,CS 1-0,CS,14.3,0.073584,5.22,1359,1 in 13
league_it,full history,ATA - CAG,CS 0-3,CS,130.0,0.008094,5.22,1359,1 in 123
league_it,full history,CRE - INT,HT/FT 1/X,HTFT,130.0,0.008094,5.22,1359,1 in 123
league_it,full history,INT - ROM,CS 3-2,CS,28.6,0.036792,5.22,1359,1 in 27
league_it,full history,JUV - VER,HT/FT 2/2,HTFT,27.0,0.038971,5.22,1360,1 in 25
league_it,full history,CRE - FIO,CS 4-1,CS,143.0,0.007358,5.22,1359,1 in 135
league_it,full history,COM - CRE,Exact 4,ExactGoals,5.77,0.182353,5.22,1360,1 in 5
league_it,full history,FIO - CAG,CS 2-3,CS,55.0,0.019132,5.22,1359,1 in 52
league_it,full history,UDI - GEN,CS 3-3,CS,143.0,0.007358,5.22,1359,1 in 135
league_it,full history,JUV - BOL,CS 1-4,CS,286.0,0.003679,5.22,1359,1 in 271
league_it,full history,JUV - BOL,CS 2-4,CS,286.0,0.003679,5.22,1359,1 in 271
league_it,full history,VER - UDI,CS 4-2,CS,130.0,0.008094,5.22,1359,1 in 123
league_it,full history,INT - LAZ,HT/FT 1/2,HTFT,32.5,0.032377,5.22,1359,1 in 30
league_it,full history,SAS - UDI,CS 0-1,CS,8.62,0.122059,5.21,1360,1 in 8
league_it,full history,LEC - SAS,HT CS 0-2,HTCS,19.6,0.053676,5.21,1360,1 in 18
league_it,full history,ROM - SAS,HT/FT 2/X,HTFT,38.7,0.027186,5.21,1361,1 in 36
league_it,full history,TOR - ROM,Under 1.5,OU,3.93,0.267647,5.19,1360,1 in 3
league_it,full history,CAG - FIO,Draw,1X2,3.39,0.310294,5.19,1360,1 in 3
league_it,full history,PIS - COM,HT CS 1-0,HTCS,6.68,0.157469,5.19,1359,1 in 6
league_it,full history,ATA - CAG,HT/FT 1/2,HTFT,39.7,0.02649,5.17,1359,1 in 37
league_it,full history,CAG - JUV,HT CS 2-0,HTCS,39.7,0.02649,5.17,1359,1 in 37
league_it,full history,ATA - CRE,HT/FT 2/X,HTFT,39.7,0.02649,5.17,1359,1 in 37
league_it,full history,ROM - CRE,Exact 1,ExactGoals,7.26,0.144853,5.16,1360,1 in 6
league_it,full history,COM - BOL,CS 1-5,CS,286.0,0.003676,5.15,1360,1 in 272
league_it,full history,COM - BOL,CS 6-0,CS,1430.0,0.000735,5.15,1360,1 in 1360
league_it,full history,JUV - LEC,HT CS 0-2,HTCS,110.0,0.009559,5.15,1360,1 in 104
league_it,full history,SAS - ATA,HT/FT 2/1,HTFT,32.5,0.032353,5.15,1360,1 in 30
league_it,full history,TOR - ROM,CS 4-1,CS,130.0,0.008088,5.15,1360,1 in 123
