Category,H2H,Market,Type,Odds,TrueProb,EV_pct,HitFreq
league_en,WOL - ARS,CS 3-2,CS,31.1,0.03325942350332594,3.44,1 in 30
league_en,FUL - AST,HT/FT 1/1,HTFT,5.79,0.17865085248332097,3.44,1 in 5
league_en,FUL - SUN,Over 3.5,OU,3.83,0.27005150846210446,3.43,1 in 3
league_en,SUN - NOT,HT/FT 2/X,HTFT,14.3,0.07232472324723248,3.42,1 in 13
league_en,CRY - EVE,HT CS 0-2,HTCS,17.9,0.057777777777777775,3.42,1 in 17
league_en,NOT - BUR,HT/FT X/2,HTFT,9.64,0.10727406318883174,3.41,1 in 9
league_en,NOT - CHE,CS 1-3,CS,12.4,0.08339483394833948,3.41,1 in 11
league_en,MNC - MNU,CS 2-3,CS,42.4,0.024390243902439025,3.41,1 in 41
league_en,CHE - BHA,CS 4-0,CS,14.0,0.07385524372230429,3.4,1 in 13
league_en,BOU - NOT,CS 1-2,CS,10.0,0.103397341211226,3.4,1 in 9
league_en,EVE - MNU,CS 0-6,CS,1402.0,0.0007374631268436578,3.39,1 in 1356
league_en,MNC - LIV,CS 3-0,CS,30.5,0.03389830508474576,3.39,1 in 29
league_en,MNC - CRY,HT CS 1-0,HTCS,3.83,0.26993416239941476,3.38,1 in 3
league_en,LIV - BUR,HT/FT X/1,HTFT,6.87,0.15048183839881393,3.38,1 in 6
league_en,WHU - BHA,CS 0-5,CS,1407.0,0.0007347538574577516,3.38,1 in 1361
league_en,NOT - BHA,CS 2-1,CS,9.45,0.10939794419970632,3.38,1 in 9
league_en,AST - MNC,Exact 3,ExactGoals,4.22,0.24495892457057505,3.37,1 in 4
league_en,CRY - BUR,HT/FT X/1,HTFT,9.38,0.11020104244229337,3.37,1 in 9
league_en,TOT - CHE,Under 1.5,OU,4.45,0.2323008849557522,3.37,1 in 4
league_en,SUN - MNC,CS 5-1,CS,282.0,0.0036656891495601175,3.37,1 in 272
league_en,MNU - CHE,HT/FT 1/2,HTFT,29.2,0.035398230088495575,3.36,1 in 28
league_en,LEE - WHU,HT/FT X/X,HTFT,5.56,0.18589272593681117,3.36,1 in 5
league_en,BHA - EVE,Exact 6,ExactGoals,27.3,0.0378619153674833,3.36,1 in 26
league_en,NOT - BRE,HT/FT X/1,HTFT,10.2,0.10133136094674557,3.36,1 in 9
league_en,BHA - NOT,HT CS 2-1,HTCS,18.7,0.0552689756816507,3.35,1 in 18
league_en,BUR - TOT,HT/FT X/2,HTFT,17.7,0.058388765705838876,3.35,1 in 17
league_en,CRY - SUN,HT CS 3-0,HTCS,51.9,0.01991150442477876,3.34,1 in 50
league_en,NOT - MNC,HT/FT X/1,HTFT,9.77,0.10576923076923077,3.34,1 in 9
league_en,CRY - NOT,HT/FT X/1,HTFT,8.13,0.12711241734019105,3.34,1 in 7
league_en,ARS - MNU,CS 5-1,CS,116.0,0.008908685968819599,3.34,1 in 112
league_en,ARS - BUR,CS 0-2,CS,23.8,0.04341427520235467,3.33,1 in 23
league_en,WHU - CHE,CS 1-3,CS,12.4,0.08333333333333333,3.33,1 in 12
league_en,WOL - AST,Exact 6,ExactGoals,23.3,0.04434589800443459,3.33,1 in 22
