league,match_name,outcome,mu_phat,fair_prob,raw_odds,mu_edge,bin17_edge,bin27_edge,min_edge,state_17_id,state_27_id,oos_roi,oos_t_stat,n_train,n_test
league_it,CAG - SAS,1x2_1_val,0.413513,0.3322,3.01,0.081313,0.061659,0.055124,0.055124,STATE_17_05,STATE_27_10,0.123875,2.479,1978.0,849.0
league_it,GEN - INT,o_u_2_5_un_val,0.457183,0.3788,2.64,0.078383,0.066643,0.054958,0.054958,STATE_17_08,STATE_27_18,0.126981,2.832,1978.0,848.0
league_it,CAG - NAP,o_u_3_5_un_val,0.586841,0.5319,1.88,0.054941,0.139857,0.073426,0.054941,STATE_17_08,STATE_27_19,0.096113,3.021,1978.0,849.0
league_es,GET - ATH,o_u_4_5_ov_val,0.075699,0.021,47.6,0.054699,0.054917,0.077683,0.054699,STATE_17_21,STATE_27_08,1.410836,3.938,1978.0,849.0
league_en,SUN - LIV,1x2_2_val,0.5574,0.4878,2.05,0.0696,0.060253,0.05421,0.05421,STATE_17_12,STATE_27_13,0.193824,5.589,1981.0,850.0
league_de,STU - BRE,1x2_2_val,0.25542,0.1992,5.02,0.05622,0.060972,0.053906,0.053906,STATE_17_02,STATE_27_03,0.133207,2.764,4423.0,1896.0
league_es,OSA - GET,o_u_4_5_ov_val,0.075372,0.0216,46.2,0.053772,0.054728,0.056253,0.053772,STATE_17_05,STATE_27_01,1.724057,4.613,1978.0,848.0
league_en,ARS - LIV,1x2_2_val,0.343029,0.2667,3.75,0.076329,0.053023,0.065214,0.053023,STATE_17_07,STATE_27_08,0.156915,2.635,1973.0,846.0
league_it,LEC - PAR,o_u_3_5_ov_val,0.275655,0.2024,4.94,0.073255,0.061218,0.052969,0.052969,STATE_17_01,STATE_27_02,0.17092,2.369,1978.0,848.0
league_en,EVE - ARS,1x2_x_val,0.302202,0.2278,4.39,0.074402,0.065312,0.052952,0.052952,STATE_17_03,STATE_27_05,0.27284,3.982,1971.0,845.0
